"GRAPE, WINE",29143
"FOREST, TIMBERLAND",30000
CHRISTMAS TREE,30005
FOREST PLANTINGS,30006
TURF/SOD,33008
SOIL FUMIGATION/PREPLANT,40008
DRIED FRUIT,43026
STORAGE AREA/BOX,46000
GRANARY,46502
LIVESTOCK,52000
CATTLE,52003
"SHEEP, LAMB",52013
PIG,52018
POULTRY,55000
CHICKEN,55001
DUCK,55002
TURKEY,55008
EGG,55501
HORSE,56005
DAIRY EQUIPMENT,60000
ANIMAL PREMISE,61001
SILOS,61005
GREENHOUSE FUMIGATION,61006
MUSHROOM HOUSE,61007
BEEHIVE,61008
HOUSEHOLD,63000
"LUMBER, TREATED",64500
WATER AREA,65000
SWIMMING POOL,65011
WATER FILTER,65015
WATER COOLING TOWERS,65019
DITCH BANK,65021
WATER (INDUSTRLIAL),65503
UNCULTIVATED AG,66000
UNCULTIVATED NON-AG,67000
AIRPORT,67001
RECREATION AREA,67002
BUILDINGS/NON-AG OUTDROOR,67003
INDUSTRIAL SITES,67009
RESIDENTIAL,68002
FENCEROWS,68009
BOAT/PIER,69000
FOOD PROCRESSING PLANT,71000
RESTAURANT,72000
HOSPITAL,74000
INDUSTRIAL SITE,77000
REFUSE AND SOLID WASTE,89000
UNDECLARED COMMODITY,99999
